epoch,train_loss,val_loss
1,0.0006239048828145991,1.8032288221064012e-05
2,1.1525941023594653e-05,6.447215771410637e-06
3,5.044213561199822e-06,6.962513302920691e-06
4,3.341582301213922e-06,2.6988036600588646e-06
5,1.8571389821404981e-06,1.1481726344154982e-06
6,9.57638399260083e-07,3.161846771543888e-07
7,5.817077796018814e-07,4.983641500612453e-07
8,3.290883382990371e-07,4.1164038608025915e-07
9,1.5589214922763988e-07,4.747905346421926e-08
10,1.2627679137535854e-07,1.3294843870909895e-06
11,1.3392814992101176e-07,4.419110017869706e-08
12,2.4684316594899773e-08,1.4535923707685317e-11
13,1.493115488079415e-11,4.4308638374038024e-12
14,7.2053835684677775e-12,3.4747144374816045e-12
15,2.1624088938487352e-12,6.366247745568928e-13
16,3.3222925223595545e-10,2.3751386888029936e-12
17,6.976689014311612e-10,1.063750493511654e-17
18,8.604635912219645e-10,4.219954163886541e-09
19,6.215984549672584e-10,8.13572209601432e-10
20,7.661126088421265e-10,1.5403372231669277e-16
21,8.837420217916292e-10,2.240102420103854e-12
22,7.372997410489523e-10,1.2363575793893261e-17
23,7.806496152745346e-10,1.1679687678852794e-17
24,8.178539735947556e-10,5.184526542743512e-17
25,8.166404073717927e-10,8.426350992525968e-16
26,8.246658872966843e-10,1.9807086215647922e-13
27,8.578569019236792e-10,4.715179527207958e-13
28,8.459115190158772e-10,4.1484232715660596e-10
29,6.52789606202348e-10,1.1212865080878487e-09
30,8.42370846162903e-10,9.42162320383133e-12
